"gname","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Al-Qaida in the Arabian Peninsula (AQAP)",,,,,,,,0,,,,,,,,
"Anarchists",,,,,,,,,,,,0,0,0,,
"Animal Liberation Front (ALF)",0,0,0,0,0,0,0,0,0,0,,,,0,,
"Anti-Abortion extremists",,0,0,0,0,0,0,1,,,0,0,,3,,
"Anti-Arab extremists",,,,,,,,,,,,,,,,0
"Anti-Government extremists",0,,,,,,,,3,0,,1,7,3,,59
"Anti-Gun Control extremists",,,,,,,,,,,,0,,,,
"Anti-Israeli extremists",3,,,,,,,,,,,,,,,
"Anti-Kim Jong-il extremists",0,,,,,,,,,,,,,,,
"Anti-LGBT extremists",,,,,,,,,,,,,,,,0
"Anti-Liberal extremists",,,,,,,2,,,,,,,,,
"Anti-Muslim extremists",,,,,,,,,,,0,0,0,3,0,2
"Anti-Police extremists",,,,,,,,,,,,1,2,,7,2
"Anti-Republican extremists",,,,,,,,,,,,,,,,1
"Anti-Semitic extremists",,,,,1,,,1,,,0,,,,0,0
"Anti-Sikh extremists",,,,,,,,,,,,,,0,,
"Anti-Trump extremists",,,,,,,,,,,,,,,0,
"Anti-White extremists",,,,,,,,,,,,,,,6,4
"Black Hebrew Israelites",,,,,,,,,,,,,,,0,
"Citizens for Constitutional Freedom",,,,,,,,,,,,,,,0,
"Court Reform extremists",,,,,,,,,,,,,,,0,
"Earth Liberation Front (ELF)",0,0,0,0,0,0,0,0,,,,,,,,
"Environmentalists",,,,,,,,,,,,,,,,0
"Incel extremists",,,,,,,,,,,,,7,10,,
"Iraqi extremists",,,,,,,,,,,0,,,,,
"Jihadi-inspired extremists",1,,,,,,,14,0,,,,6,19,52,14
"Ku Klux Klan",,,,,,,0,,,,,,,,,0
"Minutemen American Defense",,,,,,,,2,,,,,,,,
"Muslim extremists",,0,,,0,,,,,,0,6,,6,1,2
"Neo-Nazi extremists",,,,,,,0,,,,,,,,,1
"Pro-LGBT Rights extremists",,,,,,,,,,,0,,,,,0
"Revolutionary Cells-Animal Liberation Brigade",,0,,,,0,,,,,,,,,,
"Right-wing extremists",,,,,,,,,,,,,,0,,0
"Sovereign Citizen",,,,,,,,,,,0,,1,0,,
"Students For Insurrection",,,,,,,,,,,,0,,,,
"Tehrik-i-Taliban Pakistan (TTP)",,,,,,,,,0,,,,,,,
"The Justice Department",,,,,,,,,0,,,,,,,
"United Aryan Empire",,,,,,,,,,,,,0,,,
"Unknown",0,0,0,0,,0,0,0,1,0,0,15,0,1,2,3
"Veterans United for Non-Religious Memorials",,,,,,,,,,,,0,,,,
"White extremists",,0,0,,,,,,,,7,,3,9,0,7
"White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia",,,,,,,,,,,,,,,,0
